职位,薪资,公司,城市,区域,街道,经验,学历,领域,规模,性质
项目管理,8000-16000元,新雷能,西安,长安,郭杜,1-3年,本科,电子/半导体/集成电路,500-999人,股份制企业
PMO项目管理,7000-14000元,浪潮集团,西安,未央,张家堡,5-10年,本科,IT服务,10000人以上,国企
项目销售经理,8000-12000元,陕西天瑞达电子科技有限公司,西安,雁塔,等驾坡,1-3年,学历不限,IT服务,20-99人,民营
物业项目经理,5000-6000元,陕西亿超源集团有限公司,西安,灞桥,席王,1-3年,大专,物业管理,300-499人,民营
项目经理,8000-12000元,西安昱创网络科技有限公司,西安,碑林,长乐坊,1-3年,大专,广播/影视,20人以下,民营
ERP项目经理（西安）,1.5-3万,浪潮集团,西安,雁塔,漳浒寨,5-10年,本科,IT服务,10000人以上,国企
SRM实施/项目经理（出差）,1-2万,汉得信息,西安,雁塔,漳浒寨,3-5年,本科,计算机软件,10000人以上,上市公司
市政管网项目经理,8000-9000元,陕西紫光新能科技股份有限公司,西安,碑林,文艺路,3-5年,大专,电力/水利/热力/燃气,100-299人,上市公司
项目申报主管,8000-12000元,陕西云上园区平台运营服务有限公司,西安,未央,汉城,1-3年,本科,专业技术服务,20人以下,
敏捷教练/项目经理(外企可居家）,1.6-2.5万,深圳市法本信息技术股份有限公司,西安,雁塔,漳浒寨,5-10年,本科,计算机软件,1000-9999人,上市公司
华为DOC通信项目经理--长期稳定/福利齐全,1-1.7万,成都山康技术服务有限公司,西安,雁塔,丈八沟,无经验,大专,网络/信息安全,1000-9999人,民营
项目经理-西安,1.2-1.5万,中电福富信息科技有限公司,西安,雁塔,电子城,3-5年,本科,IT服务,1000-9999人,国企
项目商务经理,1-2万,华影未来(西安)文化发展有限公司,西安,未央,大明宫,3-5年,学历不限,广播/影视,100-299人,
软件/项目销售经理,5000-10000元,陕西合众全兴防务科技有限公司,西安,碑林,张家村,经验不限,本科,IT服务,20-99人,民营
生产部部长,8000-15000元,富瑞达科技,西安,阎良,振兴,5-10年,大专,电气机械/电力设备,20-99人,民营
手机硬件项目经理,1.2-2万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,3-5年,本科,互联网,10000人以上,民营
项目招商经理,8000-16000元,陕西弘鹰营销有限公司,西安,雁塔,丈八沟,经验不限,学历不限,互联网,20-99人,民营
软件项目经理,2-4万·13薪,四川德望重科技有限公司,西安,新城,长乐中路,3-5年,大专,人工智能,100-299人,
智能制造项目经理,1.1-2万·14薪,浪潮集团,西安,新城,太华路,5-10年,本科,IT服务,10000人以上,国企
AI中心-项目经理(J10197),1.5-3万·13薪,中国移动研究院,西安,雁塔,丈八沟,5-10年,本科,运营商/增值服务,1000-9999人,国企
产品交付项目经理,5000-8000元,西安明月华炎信息科技有限公司,西安,长安,郭杜,1-3年,大专,IT服务,100-299人,股份制企业
项目管理工程师,7000-12000元·13薪,华羿微电子股份有限公司,西安,未央,草滩,1-3年,本科,电子/半导体/集成电路,1000-9999人,民营
项目区域经理,4000-8000元,北京金萌泰医院管理集团有限公司陕西分公司,西安,碑林,张家村,1-3年,大专,卫生服务,500-999人,民营
项目部经理,1-1.2万·14薪,中电科(北京)物业管理有限公司,西安,新城,韩森寨,5-10年,本科,物业管理,20-99人,国企
外包业务交付经理,1.2-2万,浪潮集团,西安,雁塔,丈八沟,经验不限,本科,IT服务,10000人以上,国企
系统集成项目经理,8000-15000元,陕西瑞欣科技发展有限公司,西安,雁塔,漳浒寨,5-10年,大专,IT服务,20-99人,民营
项目经理(J11265),2-3万·14薪,西安诺瓦星云科技股份有限公司,西安,雁塔,丈八沟,5-10年,本科,电子/半导体/集成电路,1000-9999人,上市公司
教育项目经理,5000-10000元,西安中研昂石教育科技集团有限公司,西安,碑林,东关南街,1-3年,大专,学校/学历教育,20-99人,国企
物业项目经理,1-1.5万,高力国际,西安,未央,张家堡,3-5年,大专,物业管理,1000-9999人,合资
项目经理(J10027),1-1.9万·15薪,绿能慧充数字技术有限公司,西安,雁塔,丈八沟,3-5年,本科,电子/半导体/集成电路,500-999人,上市公司
游戏开发项目经理,1.5-2万,陕西科韦特网络科技有限公司,西安,雁塔,丈八沟,5-10年,本科,计算机软件,20-99人,
医院陪护项目经理,6000-11000元,陕西弘诚久益养老服务集团有限公司,西安,雁塔,,3-5年,大专,居民服务,20-99人,民营
项目经理/主管,1.1-1.5万,湖北合丰汇仓储有限公司,西安,碑林,文艺路,3-5年,大专,货运/物流/仓储,20-99人,民营
资产评估项目经理,8000-12000元,陕西运华联合会计师事务所,西安,雁塔,电子城,5-10年,本科,互联网,20-99人,民营
风电项目经理,1-1.5万,广州欢创信息咨询有限公司,西安,未央,草滩,经验不限,大专,人力资源服务,100-299人,民营
项目经理（西安）,1.2-2万,北京华天海峰科技股份有限公司,西安,雁塔,丈八沟,3-5年,本科,计算机软件,100-299人,股份制企业
项目经理,8000-13000元,北京恒悦智能信息技术有限公司西安分公司,西安,雁塔,丈八沟,1-3年,学历不限,计算机软件,20-99人,民营
医养项目总经理,2-4万,泰康人寿保险有限责任公司陕西西安城南营销服务部,西安,碑林,长安路,1-3年,大专,保险,10000人以上,民营
弱电智能化项目经理,6000-10000元,苏源智慧物联(江苏)有限公司,西安,未央,大明宫,3-5年,本科,环保,20-99人,其它
内控项目经理（底薪5-7K+绩效）,6000-8000元,西安财本企业管理咨询有限公司,西安,碑林,长安路,3-5年,本科,财务/审计/税务,20人以下,民营
IT项目经理（JAVA）,1-1.5万,环中科技有限公司,西安,新城,韩森寨,3-5年,大专,互联网,20-99人,
通信工程项目经理,8000-10000元,中科信创技术有限公司,西安,雁塔,丈八沟,3-5年,本科,运营商/增值服务,300-499人,民营
项目经理/产品经理,8000-12000元,西安西热电站信息技术有限公司,西安,雁塔,曲江,3-5年,本科,电力/水利/热力/燃气,100-299人,国企
项目经理-西安,8000-10000元,锦程前方,西安,雁塔,丈八沟,3-5年,大专,通信/网络设备,100-299人,民营
项目经理（驻场）,9000-12000元,山东天演智能科技有限公司,西安,未央,张家堡,3-5年,大专,计算机软件,100-299人,股份制企业
项目经理（AI多场景）(A197024),1.5-2万,中邮数智(西安)科技有限公司,西安,雁塔,漳浒寨,3-5年,本科,IT服务,100-299人,国企
项目经理-西安,1-1.5万,北京吉威空间信息股份有限公司,西安,雁塔,丈八沟,3-5年,本科,计算机软件,500-999人,民营
实施顾问/项目经理,8000-16000元,东华医为科技有限公司,西安,未央,小寨路,3-5年,本科,IT服务,1000-9999人,民营
致远OA实施项目经理,1.2-1.6万,西安利坤达工程有限公司,西安,碑林,柏树林,5-10年,本科,工程施工,10000人以上,民营
MES项目经理,9000-15000元,北京中科飞思智能科技有限公司西安分公司,西安,雁塔,,5-10年,本科,计算机软件,20-99人,
光伏项目经理（一建）,6000-10000元,山西名川建筑工程有限公司,西安,未央,大明宫,1-3年,大专,石油/石化,20-99人,民营
测绘项目经理,8000-10000元,陕西鑫雅图空间信息技术有限公司,西安,长安,韦曲,5-10年,本科,工程施工,100-299人,民营
项目经理（制造行业）,1.1-1.8万,美林数据技术股份有限公司,西安,雁塔,漳浒寨,3-5年,本科,计算机软件,500-999人,股份制企业
项目经理,1.5-2.5万,西安龙飞网络科技有限公司,西安,雁塔,丈八沟,1-3年,本科,通信/网络设备,100-299人,上市公司
桩基支护项目经理,9000-13000元,陕西中龙佳业建设工程有限公司,西安,未央,张家堡,5-10年,大专,工程施工,500-999人,
Scrum Master 敏捷管理 Moible Global 英语,1.1-2.2万,深圳市法本信息技术股份有限公司,西安,雁塔,漳浒寨,3-5年,大专,计算机软件,1000-9999人,上市公司
高级分析师/项目经理（可远程办公，base全国）,1-2万,慧科讯业(北京)网络科技有限公司,西安,碑林,太乙路,5-10年,本科,互联网,1000-9999人,外商独资
项目总经理,5-6万·16薪,西安银泰世纪百货有限公司,西安,雁塔,电子城,10年以上,本科,零售/批发,300-499人,银行
移动通信工程项目经理,8000-12000元,陕西立博源科技有限公司,西安,雁塔,丈八沟,1-3年,大专,运营商/增值服务,100-299人,民营
软件项目经理,1-2万,山脉科技股份有限公司,西安,雁塔,丈八沟,5-10年,本科,计算机软件,100-299人,上市公司
培训项目经理,6000-12000元,广州博日信息科技有限公司,西安,灞桥,十里铺,3-5年,本科,计算机软件,100-299人,民营
项目商务经理,6000-10000元·13薪,西安思迪机器人科技有限公司,西安,未央,谭家,1-3年,本科,零售/批发,20-99人,民营
项目经理,1.3-2万·14薪,西安润道智检科技有限公司,西安,长安,郭杜,5-10年,本科,计算机软件,100-299人,民营
用友NC项目经理,1.2-2万,北京国智云鼎科技有限公司,西安,未央,大明宫,3-5年,本科,IT服务,20-99人,其它
项目经理,1.1-1.5万,南方(北京)遥感科技有限公司,西安,长安,韦曲,1-3年,本科,云计算/大数据,100-299人,民营
物业项目经理,6000-8000元,西安华悦商业运营管理集团有限公司,西安,未央,张家堡,3-5年,大专,房地产开发,500-999人,民营
项目经理,1.5-2万·14薪,浪潮集团,西安,碑林,长安路,3-5年,本科,IT服务,10000人以上,国企
汽车项目经理,7000-14000元,西安美泰汽车饰件有限责任公司,西安,临潼,北田,5-10年,大专,汽车研发/制造,100-299人,民营
项目经理（初级）（工作地点：西安）,6000-8000元,重庆信息通信研究院,西安,长安,王寺,3-5年,本科,通信/网络设备,500-999人,国企
项目经理—万科物业（年前面试，年后入职）,9000-10000元,万物云空间科技服务股份有限公司,西安,未央,辛家庙,经验不限,大专,物业管理,10000人以上,股份制企业
项目经理,8000-13000元,英视睿达,西安,未央,汉城,1-3年,本科,IT服务,500-999人,股份制企业
客服项目经理（服务/电销方向均可）,1.4-2.5万,位来小猎(宁波)信息技术有限公司,西安,莲湖,青年路,3-5年,本科,计算机软件,100-299人,合资
园林工程生产经理,8000-10000元,山西禾源兄弟建设工程有限公司,西安,雁塔,丈八沟,5-10年,大专,工程施工,100-299人,股份制企业
客服主管/项目组长/Team Leader,6000-8000元,聚思鸿信息技术服务(大连)有限公司,西安,长安,斗门,1-3年,大专,专业技术服务,1000-9999人,上市公司
项目经理,1.2-2万,中创智维科技,西安,雁塔,丈八沟,5-10年,本科,人工智能,100-299人,民营
项目经理,8000-10000元·13薪,陕西怡和物业管理有限公司,西安,未央,张家堡,3-5年,大专,物业管理,300-499人,合资
项目经理,1.5-2万,北京天链测控技术有限公司,西安,雁塔,曲江,5-10年,本科,船舶/航空/航天/火车制造,100-299人,民营
项目经理——万科物业,9000-10000元,万物云空间科技服务股份有限公司,西安,雁塔,曲江,经验不限,大专,物业管理,10000人以上,股份制企业
项目经理,8000-13000元,西安华陆建设集团有限公司,西安,雁塔,丈八沟,1-3年,大专,装饰装修,20-99人,民营
生产经理,1-1.5万,中国能源建设集团东北电力第三工程有限公司,西安,未央,汉城,5-10年,本科,工程施工,1000-9999人,国企
工长项目经理,8000-10000元,陕西世联达置业有限公司,西安,未央,辛家庙,1-3年,学历不限,房地产中介,20人以下,股份制企业
项目经理（GIS）,1-1.5万,北京吉威空间信息股份有限公司,西安,雁塔,丈八沟,1-3年,本科,计算机软件,500-999人,民营
住宅物业项目经理,8000-12000元,西安香榭物业服务管理有限公司,西安,雁塔,丈八沟,3-5年,大专,物业管理,100-299人,民营
招标项目经理,8000-16000元,陕西至诚项目管理集团有限公司,西安,未央,张家堡,5-10年,大专,咨询服务,20-99人,民营
智慧能源工程师兼项目经理,5000-10000元·13薪,西安西热电站信息技术有限公司,西安,雁塔,曲江,1-3年,本科,电力/水利/热力/燃气,100-299人,国企
工程管家/项目经理,7000-14000元,陕西花千树装饰设计工程有限公司,西安,雁塔,长延堡,3-5年,学历不限,装饰装修,20人以下,民营
教育信息化项目经理,1-1.5万·14薪,西安东方宏业科技股份有限公司,西安,未央,汉城,5-10年,本科,专业技术服务,300-499人,股份制企业
项目经理,1.8-3.5万,北京凯云恒达科技有限公司,西安,雁塔,电子城,3-5年,本科,计算机软件,100-299人,民营
户用光伏项目经理,8000-15000元,陕西起明新能源科技有限公司,西安,雁塔,丈八沟,1-3年,本科,电气机械/电力设备,20-99人,
项目经理,1.1-1.4万·13薪,普联软件股份有限公司,西安,未央,汉城,3-5年,本科,计算机软件,1000-9999人,上市公司
系统集成项目经理,7000-9000元,西安佳信系统集成有限责任公司,西安,雁塔,电子城,5-10年,大专,IT服务,100-299人,民营
