职位,薪资,公司,城市,区域,街道,经验,学历,领域,规模,性质
H14168岗python开发工程师,9000-11000元,武汉佰钧成技术有限责任公司,西安,雁塔,漳浒寨,1-3年,本科,计算机软件,1000-9999人,民营
python开发,1-1.8万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,3-5年,本科,互联网,10000人以上,民营
python数据处理,1.1-1.2万,西安笃定信息技术有限公司,西安,雁塔,漳浒寨,3-5年,大专,计算机软件,20-99人,民营
H14037岗大数据技术支持,7000-11000元,武汉佰钧成技术有限责任公司,西安,雁塔,漳浒寨,1-3年,大专,计算机软件,1000-9999人,民营
Python开发工程师,7000-14000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,本科,互联网,10000人以上,民营
技术开发,1-2万,北京凯云恒达科技有限公司,西安,雁塔,电子城,3-5年,本科,计算机软件,100-299人,民营
软件开发,6000-8000元,西安中线软件技术有限公司,西安,未央,张家堡,1-3年,本科,计算机软件,20-99人,
数据安全工程师,8000-11000元,郑州九墨智能科技有限公司,西安,雁塔,丈八沟,无经验,本科,计算机软件,20-99人,
图像处理工程师,1.8-2.5万,西安马克医疗科技有限公司,西安,灞桥,新筑,经验不限,博士,医疗设备/器械,20人以下,股份制企业
python算法开发工程师,1.4-2万,西安经济技术开发区人力资源开发有限公司,西安,雁塔,漳浒寨,5-10年,本科,咨询服务,20-99人,
技术开发工程师,1-2万,北京凯云恒达科技有限公司,西安,雁塔,电子城,1-3年,本科,计算机软件,100-299人,民营
软件系统高级工程师,1.5-2.5万,陕西公众信息产业有限公司,西安,长安,郭杜,5-10年,本科,通信/网络设备,500-999人,国企
时序引擎研发工程师,1.5-1.8万,甘肃大河科技有限公司,西安,雁塔,,3-5年,本科,建筑设备安装,100-299人,民营
大数据开发工程师（反洗钱项目）,1.6-1.8万,京北方,西安,雁塔,丈八沟,5-10年,本科,IT服务,10000人以上,民营
unity开发工程师,8000-15000元,陕西极数云舟科技有限公司,西安,长安,郭杜,3-5年,本科,云计算/大数据,20-99人,民营
工厂数字孪生开发工程师,1.5-2万,中机工程(西安)启源咨询设计有限公司,西安,未央,汉城,3-5年,本科,学术/科研,100-299人,国企
python软件工程师(初级),6000-10000元,西安绿创电子科技有限公司,西安,雁塔,丈八沟,1-3年,本科,计算机软件,100-299人,民营
风控数据分析师,1-1.5万,深圳市法本信息技术股份有限公司,西安,未央,张家堡,3-5年,本科,计算机软件,1000-9999人,上市公司
研发工程师(J21191),1-1.8万,中核核信信息技术(北京)有限公司,西安,雁塔,电子城,5-10年,本科,计算机软件,100-299人,国企
异构编译器开发工程师,3-6万·14薪,杭州知存算力科技有限公司,西安,雁塔,,5-10年,硕士,电子/半导体/集成电路,100-299人,民营
python开发-AI方向,1.4-1.7万,软通动力信息技术(集团)股份有限公司,西安,长安,王寺,3-5年,大专,互联网,10000人以上,民营
Python开发工程师,面议,中软国际,西安,雁塔,鱼化寨,1-3年,本科,计算机软件,10000人以上,上市公司
数据开发工程师,1-1.8万,西安驭思软件科技有限公司,西安,雁塔,丈八沟,3-5年,本科,计算机软件,20-99人,民营
结构开发工程师,1.2-1.5万,深圳市法本信息技术股份有限公司,西安,雁塔,杜城,3-5年,本科,计算机软件,1000-9999人,上市公司
python开发工程师,面议,中软国际,西安,雁塔,漳浒寨,1-3年,本科,计算机软件,10000人以上,上市公司
开发工程师,1.2-1.8万,北京嘉诚瑞杰信息技术有限公司,西安,雁塔,大雁塔,3-5年,本科,计算机软件,500-999人,民营
大数据开发工程师,1-2万·13薪,软通动力信息技术(集团)股份有限公司,西安,雁塔,鱼化寨,1-3年,本科,互联网,10000人以上,民营
大数据开发工程师（浐灞）,1.3-1.7万,京北方,西安,灞桥,席王,3-5年,本科,IT服务,10000人以上,民营
ue4开发工程师,1-2万,北京国遥新天地信息技术股份有限公司,西安,雁塔,丈八沟,3-5年,本科,IT服务,1000-9999人,民营
Python研发工程师,1-1.5万,软通动力信息技术(集团)股份有限公司,西安,雁塔,鱼化寨,1-3年,本科,互联网,10000人以上,民营
图像处理软件工程师,9000-18000元,西安金波检测仪器有限责任公司,西安,雁塔,电子城,3-5年,硕士,仪器仪表制造,20人以下,民营
python深度学习工程师(中级),1-1.5万,西安绿创电子科技有限公司,西安,雁塔,丈八沟,3-5年,本科,计算机软件,100-299人,民营
python开发工程师-西安,面议,东华软件股份公司,西安,雁塔,漳浒寨,1-3年,本科,计算机软件,1000-9999人,上市公司
数据治理高级工程师,1.5-2.5万,陕西公众信息产业有限公司,西安,长安,郭杜,5-10年,本科,通信/网络设备,500-999人,国企
鸿蒙开发,1-1.7万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,本科,互联网,10000人以上,民营
Pytyhon开发工程师,7000-10000元,陕西尚品信息科技有限公司,西安,雁塔,丈八沟,1-3年,本科,互联网,20-99人,民营
高级工业软件开发工程师,2-3.5万·13薪,鲁欧智造(山东)数字科技有限公司,西安,雁塔,电子城,5-10年,硕士,电子/半导体/集成电路,20-99人,民营
python开发工程师,1.3-1.8万·13薪,京北方,西安,雁塔,丈八沟,5-10年,本科,IT服务,10000人以上,民营
H14510岗python,8000-11000元,武汉佰钧成技术有限责任公司,西安,雁塔,漳浒寨,1-3年,本科,计算机软件,1000-9999人,民营
python后端开发工程师,1-1.1万,上海微创软件股份有限公司,西安,雁塔,漳浒寨,1-3年,本科,IT服务,10000人以上,合资
数据架构师（架构工程师）,1.5-3万·14薪,金航数码科技有限责任公司,西安,雁塔,漳浒寨,5-10年,本科,IT服务,500-999人,国企
Python开发,1.1-1.6万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,本科,互联网,10000人以上,民营
数据开发/全栈开发,1.6-2.2万,中电金信软件有限公司,西安,雁塔,漳浒寨,5-10年,本科,计算机软件,10000人以上,国企
U3D开发工程师,1.1-1.7万,北斗天地股份有限公司,西安,长安,郭杜,3-5年,本科,IT服务,300-499人,国企
Python开发,1.1-1.2万,博彦科技承德有限公司,西安,雁塔,漳浒寨,1-3年,本科,IT服务,1000-9999人,股份制企业
大数据开发工程师,1-1.5万,软通动力信息技术(集团)股份有限公司,西安,雁塔,鱼化寨,3-5年,本科,互联网,10000人以上,民营
python后端开发工程师,1-1.7万,润和软件,西安,雁塔,鱼化寨,3-5年,本科,计算机软件,1000-9999人,上市公司
python后端开发工程师,1-2万·14薪,西安中科西光航天科技有限公司,西安,长安,韦曲,5-10年,本科,船舶/航空/航天/火车制造,20-99人,股份制企业
Python开发工程师,1-1.5万,陕西优百信息技术有限公司,西安,雁塔,丈八沟,3-5年,本科,计算机软件,20-99人,民营
Python开发工程师,面议,中软国际,西安,雁塔,鱼化寨,1-3年,本科,计算机软件,10000人以上,上市公司
Python开发工程师,9000-16000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,丈八沟,1-3年,本科,互联网,10000人以上,民营
python全栈开发工程师,8000-14000元,山东恒远智能科技有限公司,西安,雁塔,丈八沟,1-3年,本科,IT服务,300-499人,民营
python讲师,1-1.8万,明大企业集团有限公司,西安,新城,胡家庙,1-3年,本科,互联网,500-999人,民营
Python后台开发工程师,面议,中软国际,西安,雁塔,杜城,3-5年,本科,计算机软件,10000人以上,上市公司
Python开发工程师,1.5-2.2万·13薪,上海蒙帕智能科技股份有限公司,西安,雁塔,丈八沟,3-5年,本科,IT服务,100-299人,股份制企业
python讲师,1-1.8万,明大企业集团有限公司,西安,新城,胡家庙,5-10年,本科,互联网,500-999人,民营
Python开发工程师,面议,中软国际,西安,雁塔,鱼化寨,1-3年,本科,计算机软件,10000人以上,上市公司
python,9000-16000元,软通动力信息技术(集团)股份有限公司,西安,长安,王寺,3-5年,本科,互联网,10000人以上,民营
数据开发工程师,1.4-1.6万,北京鑫瑞天翔科技发展有限公司,西安,未央,汉城,3-5年,本科,计算机软件,100-299人,民营
Python开发工程师,面议,中软国际,西安,雁塔,等驾坡,3-5年,大专,计算机软件,10000人以上,上市公司
Python开发工程师,2-4万·16薪,北京鼎腾科技有限公司,西安,雁塔,丈八沟,3-5年,本科,IT服务,500-999人,民营
数据开发（学信网可查统招本科）,1-1.3万,北京中软环球信息技术有限公司,西安,未央,汉城,3-5年,本科,计算机软件,100-299人,股份制企业
Python,面议,中软国际,西安,雁塔,漳浒寨,1-3年,本科,计算机软件,10000人以上,上市公司
ai架构师,1.5-2.5万·15薪,大庆子胜科技有限公司,西安,雁塔,漳浒寨,5-10年,硕士,互联网,20-99人,民营
python高级开发工程师,1.5-2万,西安绿创电子科技有限公司,西安,雁塔,丈八沟,5-10年,本科,计算机软件,100-299人,民营
数据治理顾问,1.5-3万,北京三维天地科技股份有限公司,西安,雁塔,丈八沟,5-10年,本科,计算机软件,1000-9999人,股份制企业
调度研发工程师,1.5-2.5万,上海蒙帕智能科技股份有限公司,西安,雁塔,丈八沟,5-10年,本科,IT服务,100-299人,股份制企业
数据治理工程师,2-3万,西安华泽人力资源管理咨询有限公司,西安,碑林,长安路,3-5年,硕士,咨询服务,20-99人,民营
系统开发工程师,1.8-2万,龙源(北京)新能源工程技术有限公司,西安,长安,郭杜,3-5年,硕士,电力/水利/热力/燃气,100-299人,国企
高级调度研发工程师（系统架构）,1.2-2万,上海蒙帕智能科技股份有限公司,西安,雁塔,,5-10年,本科,IT服务,100-299人,股份制企业
AI系统架构师,2-2.5万,陕西中基项目管理有限公司,西安,雁塔,电子城,5-10年,本科,房地产开发,500-999人,国企
数据开发工程师,1.3-1.4万,京北方,西安,雁塔,杜城,3-5年,本科,IT服务,10000人以上,民营
数据开发治理工程师,1.8-2万,龙源(北京)新能源工程技术有限公司,西安,长安,郭杜,3-5年,硕士,电力/水利/热力/燃气,100-299人,国企
python后端开发工程师,1.2-1.8万,首聘(北京)科技有限公司,西安,雁塔,漳浒寨,3-5年,本科,企业服务,1000-9999人,民营
软件系统架构师,1.5-2.2万·13薪,西安创客村电子商务有限责任公司,西安,长安,细柳,5-10年,本科,互联网,300-499人,民营
数智化建设架构师（城市燃气）,1-1.5万,陕西百事通企业投资集团有限公司,西安,雁塔,丈八沟,3-5年,本科,电力/水利/热力/燃气,1000-9999人,民营
CFD工程师,1.5-2万,上海庭田信息科技有限公司,西安,灞桥,新筑,3-5年,硕士,计算机软件,20-99人,民营
高级Python研发工程师（系统架构）,1.5-2.5万,上海蒙帕智能科技股份有限公司,西安,雁塔,,5-10年,本科,IT服务,100-299人,股份制企业
数据开发工程师（银行）,9000-15000元,深圳市法本信息技术股份有限公司,西安,未央,张家堡,3-5年,本科,计算机软件,1000-9999人,上市公司
大数据开发工程师（浐灞）,1.2-1.9万,京北方,西安,灞桥,席王,5-10年,本科,IT服务,10000人以上,民营
大数据开发工程师,1.2-1.6万,碧兴物联科技(深圳)股份有限公司,西安,雁塔,杜城,3-5年,本科,环保,500-999人,民营
golang开发工程师（base合肥）,1.5-2.2万,软通动力信息技术(集团)股份有限公司,西安,长安,郭杜,3-5年,本科,互联网,10000人以上,民营
高级系统架构师,1-2万,陕西海嵘工程科技集团股份有限公司,西安,雁塔,漳浒寨,5-10年,硕士,建筑工程检测,100-299人,股份制企业
固体火箭发动机工程师,1.5-2万,西安自由星宸航天科技有限公司,西安,雁塔,丈八沟,1-3年,本科,工程技术与设计服务,20-99人,股份制企业
流体力学工程师,7000-14000元·14薪,西安东风机电股份有限公司,西安,鄠邑,草堂,3-5年,本科,仪器仪表制造,100-299人,民营
高级软件架构师,2.5-3万,西安航天基地德创电子科技有限公司,西安,莲湖,桃园路,5-10年,硕士,人力资源服务,100-299人,民营
Qlik开发工程师,1.4-2万,中电金信软件有限公司,西安,雁塔,漳浒寨,3-5年,本科,计算机软件,10000人以上,国企
资深大模型应用开发工程师,8000-16000元,西安顺祥建筑工程有限公司,西安,雁塔,杜城,3-5年,本科,房地产开发,20-99人,民营
数据库开发工程师-调优-DBA,1.4-1.5万·13薪,软通动力信息技术(集团)股份有限公司,西安,灞桥,席王,5-10年,本科,互联网,10000人以上,民营
高级java工程师,9000-12000元,西安云锦汇信息科技有限公司,西安,雁塔,小寨路,5-10年,本科,互联网,20-99人,民营
爬虫工程师,1-1.7万,北京小确信安全防范科技有限公司,西安,雁塔,丈八沟,3-5年,大专,互联网,20-99人,其它
爬虫逆向工程师,8000-12000元,陕西云上科技集团有限公司,西安,雁塔,等驾坡,5-10年,大专,IT服务,100-299人,民营
ai爬虫工程师,1.3-2万,陕西玖耀启铭科技有限公司,西安,雁塔,电子城,3-5年,本科,电子商务,100-299人,民营
python高级爬虫工程师,1.5-2万,顺顺助融(陕西)科技有限公司,西安,雁塔,丈八沟,3-5年,本科,互联网,20-99人,民营
爬虫工程师,9000-16000元,陕西奈沃当信息技术有限公司,西安,雁塔,电子城,1-3年,本科,电子商务,100-299人,
软件开发,1.6-1.7万,浙江岩亨信息技术有限公司西安分公司,西安,碑林,太乙路,3-5年,本科,通信/网络设备,20-99人,国企
VR/MR遥操作开发工程师,8000-12000元,西安蓝虫具身智能科技有限公司,西安,雁塔,等驾坡,经验不限,学历不限,人工智能,20人以下,民营
高级数据建模工程师,1.5-2.5万,顺顺助融(陕西)科技有限公司,西安,雁塔,丈八沟,3-5年,本科,互联网,20-99人,民营
研发硬件测试工程师（充电模块）,1.5-1.8万,西安特来电智能充电科技有限公司,西安,雁塔,漳浒寨,5-10年,本科,电子/半导体/集成电路,100-299人,民营
初级硬件测试工程师（早九晚六 双休),5000-9000元,陕西柏佳明轩电子科技有限公司,西安,雁塔,漳浒寨,1年以下,中专/中技,电子/半导体/集成电路,500-999人,民营
硬件测试,6000-10000元·13薪,西安信荣华电子科技有限公司,西安,莲湖,北关,1年以下,大专,电子设备制造,100-299人,
电源硬件测试工程师,1.5-1.8万,西安特来电智能充电科技有限公司,西安,雁塔,漳浒寨,5-10年,本科,电子/半导体/集成电路,100-299人,民营
硬件测试（早九晚六 双休）,5000-8000元,陕西嘉博美昊电子科技有限公司,西安,未央,草滩,1年以下,中专/中技,电子设备制造,500-999人,
硬件测试工程师,6000-8000元,陕西盛为网络科技有限公司,西安,雁塔,丈八沟,无经验,学历不限,计算机软件,20-99人,民营
硬件测试工程师,4000-6000元,阿尔泰科技,西安,雁塔,电子城,1年以下,大专,电子/半导体/集成电路,100-299人,民营
硬件测试（早九晚六 双休）,5000-8000元,陕西柏佳明轩电子科技有限公司,西安,雁塔,漳浒寨,1年以下,中专/中技,电子/半导体/集成电路,500-999人,民营
【急招】软件测试,1.1-1.2万·13薪,临沂云志能源科技有限公司,西安,碑林,太乙路,经验不限,学历不限,IT服务,500-999人,股份制企业
硬件测试工程师,8000-15000元,武汉佰钧成技术有限责任公司,西安,雁塔,鱼化寨,经验不限,学历不限,计算机软件,1000-9999人,民营
硬件测试工程师,面议,中软国际,西安,雁塔,鱼化寨,1-3年,大专,计算机软件,10000人以上,上市公司
硬件测试助理,5000-7000元,西安华心智源科技有限公司,西安,雁塔,电子城,1-3年,大专,医疗设备/器械,100-299人,
基站测试工程师,6000-10000元,西安乾图网络科技有限公司,西安,未央,张家堡,经验不限,大专,IT服务,20人以下,
硬件测试工程师,1-1.6万,同方鼎欣科技股份有限公司,西安,雁塔,电子城,5-10年,本科,IT服务,1000-9999人,股份制企业
硬件测试工程师,面议,中软国际,西安,长安,王寺,3-5年,本科,计算机软件,10000人以上,上市公司
初级测试工程师,4000-6000元,深圳数拓科技有限公司,西安,雁塔,丈八沟,1-3年,大专,计算机软件,20-99人,民营
硬件测试助理,8000-10000元,西安恩仪联技术有限公司,西安,雁塔,电子城,经验不限,大专,IT服务,100-299人,民营
硬件测试工程师,1-1.5万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,3-5年,大专,互联网,10000人以上,民营
硬件测试工程师,6000-12000元,西安环宇芯微电子有限公司,西安,雁塔,电子城,经验不限,本科,IT服务,20-99人,民营
硬件测试（早九晚六 双休）,5000-8000元,陕西嘉博美昊电子科技有限公司,西安,未央,草滩,1年以下,中专/中技,电子设备制造,500-999人,
基站测试工程师,8000-12000元,西安乾图网络科技有限公司,西安,未央,张家堡,经验不限,大专,IT服务,20人以下,
初级硬件测试工程师,6000-10000元·15薪,西安星源博锐新能源技术有限公司,西安,雁塔,丈八沟,1-3年,本科,新能源,100-299人,民营
硬件测试工程师,面议,中软国际,西安,碑林,张家村,经验不限,本科,计算机软件,10000人以上,上市公司
通讯工程师+双休+五险一金+正式合同,7000-10000元,邯郸凯诺人力资源有限公司,西安,碑林,张家村,经验不限,高中,专业技术服务,20人以下,
25届实习 电气自动化工程师助理,5000-8000元,陕西丝路乐业人力资源集团有限公司,西安,未央,六村堡,无经验,大专,人力资源服务,20-99人,
硬件测试工程师,5000-8000元,瑞日电子,西安,,,1-3年,大专,电子/半导体/集成电路,20-99人,民营
硬件测试工程师,面议,中软国际,西安,雁塔,鱼化寨,1-3年,本科,计算机软件,10000人以上,上市公司
智能电子产品系统配件测试工程师,7000-9000元,陕西锐嘉电子科技有限公司,西安,碑林,太乙路,经验不限,大专,计算机硬件,20-99人,民营
硬件测试工程师,6000-9000元·13薪,陕西轩聚德隆电子科技有限公司,西安,长安,郭杜,经验不限,大专,电子/半导体/集成电路,20-99人,
硬件测试工程师,5000-8000元,陕西伊索禹创科技有限公司,西安,未央,大明宫,经验不限,大专,互联网,300-499人,民营
网络协议测试工程师,7000-8000元,陕西锐嘉电子科技有限公司,西安,碑林,太乙路,经验不限,大专,计算机硬件,20-99人,民营
软件测试,1-1.5万·13薪,青岛瑞晟元人力资源有限公司,西安,未央,张家堡,经验不限,学历不限,人力资源服务,20人以下,民营
天线测试工程师,6000-10000元,西安瀚博电子科技有限公司,西安,雁塔,丈八沟,经验不限,本科,仪器仪表制造,20-99人,民营
硬件测试工程师,9000-17000元·14薪,新北洋,西安,雁塔,漳浒寨,3-5年,本科,电子/半导体/集成电路,1000-9999人,股份制企业
硬件测试工程师,1-1.3万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,3-5年,本科,互联网,10000人以上,民营
无人机装配工程师,6000-8000元,陕西青研云信息科技有限责任公司,西安,雁塔,丈八沟,经验不限,大专,IT服务,20-99人,民营
硬件测试工程师,5000-9000元,西安乐驰科技有限公司,西安,未央,建章路,3-5年,大专,仪器仪表制造,20-99人,民营
camera评测工程师,9000-12000元,软通动力信息技术(集团)股份有限公司,西安,长安,韦曲,1-3年,本科,互联网,10000人以上,民营
硬件测试工程师,面议,中软国际,西安,雁塔,漳浒寨,1-3年,本科,计算机软件,10000人以上,上市公司
APP测试,6000-7000元,中电金信软件有限公司,西安,雁塔,漳浒寨,1-3年,大专,计算机软件,10000人以上,国企
硬件测试工程师,5000-9000元,西安泽力特科技有限公司,西安,雁塔,丈八沟,1-3年,本科,电子/半导体/集成电路,20人以下,民营
功率硬件工程师,面议,中软国际,西安,雁塔,漳浒寨,1-3年,大专,计算机软件,10000人以上,上市公司
硬件测试工程师,7000-10000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,鱼化寨,1-3年,本科,互联网,10000人以上,民营
手机信号测试工程师,6000-10000元,西安乾图网络科技有限公司,西安,未央,张家堡,经验不限,大专,IT服务,20人以下,
硬件测试工程师,1-1.5万,合众思壮,西安,高新区,丈八沟,1-3年,本科,运营商/增值服务,1000-9999人,上市公司
手机测试工程师,8000-13000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,鱼化寨,1-3年,本科,互联网,10000人以上,民营
硬件测试工程师,面议,中软国际,西安,雁塔,漳浒寨,1-3年,本科,计算机软件,10000人以上,上市公司
芯片测试助理工程师,4000-8000元,陕西亚成微电子股份有限公司,西安,长安,郭杜,经验不限,学历不限,电子/半导体/集成电路,100-299人,股份制企业
功能测试（双休）,1-1.2万·13薪,陕西普益亮图数字科技有限公司,西安,灞桥,张家堡,经验不限,高中,计算机软件,20-99人,
硬件测试工程师,5000-8000元,博康集团,西安,鄠邑,五竹,3-5年,大专,电子/半导体/集成电路,100-299人,民营
硬件测试工程师,8000-12000元,苏州博尔科技有限公司西安分公司,西安,雁塔,丈八沟,1-3年,本科,工业自动化,20-99人,
路由器测试工程师,6000-8000元,陕西青研云信息科技有限责任公司,西安,雁塔,电子城,经验不限,大专,IT服务,20-99人,民营
通信工程师初级,7000-9000元,陕西中科梓逸信息技术有限公司,西安,雁塔,丈八沟,经验不限,本科,人工智能,20-99人,合资
硬件测试工程师,9000-17000元·14薪,西安爱科赛博电气股份有限公司,西安,长安,郭杜,1-3年,本科,电子/半导体/集成电路,500-999人,民营
硬件测试工程师,8000-11000元·13薪,西安锋砺信息科技有限公司,西安,碑林,长乐中路,3-5年,本科,电力/水利/热力/燃气,20-99人,民营
EMC电磁兼容测试工程师,6000-12000元,广电计量检测(西安)有限公司,西安,长安,郭杜,经验不限,本科,检测/认证,300-499人,国企
电源测试工程师,9000-15000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,本科,互联网,10000人以上,民营
硬件测试工程师,1-2万·15薪,特变电工新能源公司,西安,长安,郭杜,3-5年,本科,新能源,1000-9999人,上市公司
硬件测试工程师,面议,中软国际,西安,雁塔,漳浒寨,1-3年,本科,计算机软件,10000人以上,上市公司
手机测试工程师,7000-14000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,鱼化寨,1-3年,本科,互联网,10000人以上,民营
车载测试课程/培训招生西安,9000-12000元,51Testing,西安,雁塔,小寨路,经验不限,大专,计算机软件,100-299人,民营
硬件测试工程师,9000-15000元,易事特集团股份有限公司,西安,雁塔,丈八沟,1-3年,本科,电气机械/电力设备,1000-9999人,股份制企业
硬件测试工程师,9000-18000元,华夏天信智能物联股份有限公司,西安,雁塔,丈八沟,1-3年,本科,专用设备制造,300-499人,港澳台公司
车载测试（24届，25届可投）,6000-9000元,西安软玥信息技术有限公司,西安,雁塔,丈八沟,经验不限,本科,计算机软件,20-99人,民营
软件测试（鸿蒙+华为/荣耀手机平板测试+短距+6个月内项目）,7000-12000元,广东善世企业服务集团有限公司,西安,雁塔,漳浒寨,经验不限,学历不限,人力资源服务,100-299人,民营
硬件测试工程师,面议,中软国际,西安,雁塔,漳浒寨,1-3年,大专,计算机软件,10000人以上,上市公司
硬件测试工程师(J11717),1.2-1.8万,广东明阳龙源电力电子有限公司,西安,雁塔,丈八沟,1-3年,本科,专用设备制造,100-299人,民营
车载测试人员,5000-9000元,西安青树软件科技有限公司,西安,雁塔,丈八沟,1年以下,大专,计算机软件,100-299人,民营
设备硬件测试,6000-9000元,云逸达(陕西)智能技术有限公司,西安,雁塔,小寨路,经验不限,大专,智能硬件,20-99人,民营
硬件测试工程师,面议,中软国际,西安,雁塔,漳浒寨,1-3年,本科,计算机软件,10000人以上,上市公司
七性（可靠性/测试性/维修性/电磁兼容性等）系统/硬件工程师,1.2-2.2万,晨曦航空,西安,,丈八沟,经验不限,本科,船舶/航空/航天/火车制造,300-499人,上市公司
软件测试/功能测试,1-2万,苏州人瑞普惠人力资源服务有限公司,西安,雁塔,丈八沟,经验不限,本科,互联网,500-999人,上市公司
无人机测试工程师（实习生）,150-200元/天,因诺科技,西安,雁塔,漳浒寨,无经验,大专,船舶/航空/航天/火车制造,300-499人,民营
硬件测试工程师,面议,中软国际,西安,莲湖,漳浒寨,3-5年,本科,计算机软件,10000人以上,上市公司
硬件测试工程师,1-2万,西安星源博锐新能源技术有限公司,西安,雁塔,丈八沟,1-3年,本科,新能源,100-299人,民营
硬件测试,6000-9000元,陕西盛为网络科技有限公司,西安,莲湖,北院门,经验不限,大专,计算机软件,20-99人,民营
器件测试助理工程师,6000-10000元,莱特光电,西安,长安,五星,经验不限,本科,化工,300-499人,上市公司
硬件测试工程师,8000-12000元,陕西中核贝森电子科技有限公司,西安,雁塔,丈八沟,5-10年,本科,仪器仪表制造,20人以下,民营
硬件测试系统工程师,1.8-3.5万,超聚变数字技术有限公司,西安,雁塔,丈八沟,5-10年,本科,计算机硬件,1000-9999人,股份制企业
设备硬件测试,6000-8000元,陕西锐嘉电子科技有限公司,西安,碑林,太乙路,经验不限,大专,计算机硬件,20-99人,民营
硬件工程师助理,3000-5000元,陕西青研云信息科技有限责任公司,西安,,电子城,经验不限,大专,IT服务,20-99人,民营
硬件测试工程师,面议,中软国际,西安,雁塔,漳浒寨,3-5年,大专,计算机软件,10000人以上,上市公司
软件测试工程师,7000-10000元·14薪,西安瑞新康达医疗科技有限公司,西安,雁塔,鱼化寨,经验不限,本科,医疗设备/器械,20-99人,民营
手机信号测试工程师,7000-10000元,西安乾图网络科技有限公司,西安,未央,张家堡,经验不限,大专,IT服务,20人以下,
硬件测试工程师,面议,中软国际,西安,雁塔,漳浒寨,1-3年,本科,计算机软件,10000人以上,上市公司
硬件测试工程师,6000-8000元·13薪,天津瑞源电气有限公司,西安,长安,韦曲,1-3年,本科,电气机械/电力设备,500-999人,上市公司
硬件测试工程师,1.5-3万,汇川技术,西安,长安,王寺,5-10年,本科,工业自动化,10000人以上,上市公司
稳定性测试工程师,7000-9000元,诚迈科技,西安,长安,韦曲,经验不限,本科,运营商/增值服务,1000-9999人,上市公司
硬件测试,5000-9000元·13薪,陕西柏佳明轩电子科技有限公司,西安,雁塔,漳浒寨,1年以下,中专/中技,电子/半导体/集成电路,500-999人,民营
硬件工程师（加固计算机、测试设备电气设计方向）,6000-10000元,陕西荣耀达电子科技有限公司,西安,雁塔,杜城,1-3年,大专,电子/半导体/集成电路,20人以下,民营
硬件测试工程师,1.5-3万·14薪,西安迅湃快速充电技术有限公司,西安,雁塔,丈八沟,5-10年,硕士,仪器仪表制造,100-299人,民营
硬件测试实习生,5000-9000元,西安青树软件科技有限公司,西安,雁塔,丈八沟,1年以下,本科,计算机软件,100-299人,民营
Labview软件工程师,6000-10000元,西安莱特智码信息科技有限公司,西安,雁塔,杜城,1-3年,本科,工业自动化,20人以下,
集成电路硬件测试工程师,6000-11000元,西安君信电子科技有限责任公司,西安,长安,郭杜,1-3年,本科,电子/半导体/集成电路,100-299人,民营
驱动硬件测试高级工程师,2-4万,汇川技术,西安,长安,王寺,5-10年,本科,工业自动化,10000人以上,上市公司
游戏测试工程师（24届，25届可投）,6000-12000元,西安软玥信息技术有限公司,西安,雁塔,丈八沟,经验不限,本科,计算机软件,20-99人,民营
西安手表手环测试（当天反馈，电话面试）,6000-12000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,经验不限,大专,互联网,10000人以上,民营
硬件测试,6000-8000元,陕西盛为网络科技有限公司,西安,雁塔,长延堡,无经验,大专,计算机软件,20-99人,民营
测试工程师（培养）,8000-15000元,天阳科技,西安,未央,张家堡,1-3年,本科,计算机软件,1000-9999人,上市公司
硬件技术员,8000-12000元·13薪,陕西博志弘达网络科技有限公司,西安,雁塔,漳浒寨,经验不限,大专,网络/信息安全,100-299人,其它
信号完整性测试工程师,1-1.6万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,3-5年,本科,互联网,10000人以上,民营
技术测试支持,5000-8000元,陕西青研云信息科技有限责任公司,西安,雁塔,电子城,经验不限,中专/中技,IT服务,20-99人,民营
调试工程师（西安）,4000-8000元·14薪,上海铱控自动化系统工程有限公司郑州分公司,西安,新城,长乐西路,1年以下,大专,工业自动化,20-99人,民营
电磁兼容测试工程师（西安）,8000-15000元,飞特质科(北京)计量检测技术有限公司,西安,雁塔,杜城,经验不限,本科,检测/认证,20-99人,民营
手机测试工程师,5000-10000元,西安正麦科技有限公司,西安,雁塔,杜城,经验不限,本科,计算机软件,20人以下,
测试工程师,8000-10000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,3-5年,本科,互联网,10000人以上,民营
初级军用软件测试工程师,3000-6000元,西安中科信测科技有限公司,西安,雁塔,丈八沟,1年以下,本科,IT服务,20人以下,股份制企业
